sr_no,brief_description_of_story,location,state,amount_rs,source,date,investigating_authority,link,1
1,"Couple carrying ₹9,32,000 in new currency notes apprehended",Moreh,Manipur,932000.0,Twitter,2016-12-06,Indian Army,https://twitter.com/easterncomd/status/806201949473284096,2016-12-06
2,Arrest of Currency exchanging gang: 2 arrested for exchanging old-new notes,Vijaywada,Andhra Pradesh,3100000.0,Twitter,2016-12-02,State Police,https://twitter.com/Madrassan/status/804727327527571456,2016-12-02
3,Youth leader of the BJP's Tamil Nadu unit has been arrested ,Salem ,Tamil Nadu,2055000.0,Indiatimes,2016-11-26,State Police,http://www.indiatimes.com/news/india/bjp-youth-leader-who-was-ready-to-stand-in-the-queue-for-the-progress-of-the-country-held-with-rs-20-5-l-new-currency-266572.html,2016-11-26
4,New currency seized from Railway station,H Nizamuddin,New Delhi,2700000.0,ABP News,2016-11-25,State Police,http://abpnews.abplive.in/india-news/delhi-police-recovered-new-currency-at-hazrat-nizamuddin-railway-station-503408,2016-11-25
5,2 Axis Bank managers under I-T Department lens for helping convert money,Kashmere Gate,New Delhi,35000000,Financial Express,2016-11-25,Income Tax Dept,http://www.financialexpress.com/india-news/demonetisation-2-axis-bank-managers-under-i-t-department-lens-for-reportedly-helping-to-convert-black-money/456195/,2016-11-25
6,PWD Engineers caught with 4.7 crore new currency,Bangalore,Karnataka,57000000,New Indian Express,2016-11-30,Income Tax Dept,http://www.newindianexpress.com/cities/bengaluru/2016/dec/01/rs-47-crore-in-new-currency-gold-seized-from-government-officials-contractor-in-bengaluru-1544560.html,2016-11-30
7,"Odisha Police seizes Rs 1.43 crore in Sambalpur; eight arrested, arms recovered",Sambalpur,Orissa,8560000.0,Zee News,2016-12-04,State Police,http://zeenews.india.com/news/odisha/odisha-police-seizes-rs-1-43-crore-in-sambalpur-eight-arrested-arms-recovered_1955690.html,2016-12-04
8,Currency seized ... chief electoral officer says belongs to Bank of Baroda,Thanjavur,Tamil Nadu,75000000,India Today,2016-11-10,Election Commission,http://indiatoday.intoday.in/story/currency-seized-thanjavur-rs-2000-notes-bank-of-baroda-black-money/1/806988.html,2016-11-10
9,"In Gujarat, Bribe Of Nearly 3 Lakhs Paid",Ahmedabad,Gujarat,300000.0,NDTV,2016-11-15,Anti Corruption Bureau,http://www.ndtv.com/india-news/in-gujarat-bribe-of-rs-2-9-lakh-paid-in-new-rs-2000-notes-two-arrested-1626378,2016-11-15
10,Rs 71 lakh in new currency seized in Karnataka,"Bailur, Udupi",Karnataka,7100000.0,Times of India,2016-12-04,State Police,http://timesofindia.indiatimes.com/city/bengaluru/Rs-71-lakh-in-new-currency-seized-in-Karnataka/articleshow/55788542.cms,2016-12-04
11,Police arrest BJP leader with Rs 33 lakh in new currency notes,Burdwan,West Bengal,3300000.0,ABP News,2016-12-06,State Police,http://www.abplive.in/india-news/west-bengal-bjp-leader-arrested-with-rs-33-lakh-in-new-currency-notes-458843,2016-12-06
12,Thirty four lakh seized in new and defunct currency notes,Ahmedabad,Gujarat,1060000.0,Indian Express,2016-11-23,State Police,http://indianexpress.com/article/india/india-news-india/gujarat-thirty-four-lakh-seized-in-new-and-defunct-currency-notes-4391789/,2016-11-23
13,New Currency Notes Worth Over ₹95 Lakh Seized In Hyderabad,Hyderabad,Telangana,9518000.0,Huffington Post,2016-12-02,State Police,http://www.huffingtonpost.in/2016/12/02/new-currency-notes-worth-over-95-lakh-seized-in-hyderabad/,2016-12-02
14,11 lakh in new currency seized by Alwar police,Alwar,Rajasthan,1100000.0,Times of India,2016-12-05,State Police,http://timesofindia.indiatimes.com/city/jaipur/11-lakh-in-new-currency-seized-by-Alwar-police/articleshow/55802420.cms,2016-12-05
15,"Rs. 58 lakh of Rs. 2,000 denomination seized",Hyderabad,Telangana,5800000.0,The Hindu,2016-12-06,State Police,http://www.thehindu.com/news/cities/Hyderabad/Rs.-58-lakh-of-Rs.-2000-denomination-seized/article16765615.ece,2016-12-06
16,DDs were not the only instruments to be misused,Bangalore,Karnataka,7149000.0,The Hindu,2016-11-28,CBI,http://www.thehindu.com/news/cities/bangalore/DDs-were-not-the-only-instruments-to-be-misused/article16768823.ece,2016-11-28
17,Kodagu police seize over 34 lakh in new currency notes from taluk panchayat member,Kodagu,Karnataka,3400000.0,Times of India,2016-12-04,State Police,http://timesofindia.indiatimes.com/city/mysuru/Kodagu-police-seize-over-34-lakh-in-new-currency-notes-from-TP-member/articleshow/55787369.cms,2016-12-04
18,Rs. 27 lakh-worth banned currency seized in Bhubaneswar,Bhubaneswar,Orissa,300000.0,New Indian Express,2016-11-20,State Police,http://www.newindianexpress.com/states/odisha/2016/nov/20/rs-27-lakh-worth-banned-currency-seized-in-bhubaneswar-1540629.html,2016-11-20
19,"Cops arrest five, seize Rs 35 lakh in new notes",Bhatkal,Karnataka,3500000.0,Times of India,2016-12-01,State Police,http://timesofindia.indiatimes.com/city/bengaluru/Cops-arrest-five-seize-Rs-35L-in-new-notes/articleshow/55713417.cms,2016-12-01
20,Gwalior Police seizes eight lakh including new notes,Gwalior,Madhya Pradesh,200000.0,ABP News,2016-12-06,State Police,https://www.youtube.com/watch?v=hvCQxo14AyI,2016-12-06
21,Bengaluru: Cash van driver’s wife held with Rs 79 lakh,Bangalore,Karnataka,9500000.0,Deccan Chronicle,2016-11-29,State Police,http://www.deccanchronicle.com/nation/crime/291116/bengaluru-cash-van-drivers-wife-held-with-rs-79-lakh.html,2016-11-29
22,"Telangana: TV stringers, 2 cops rob broker",Hyderabad,Telangana,1000000.0,Deccan Chronicle,2016-11-27,State Police,http://www.deccanchronicle.com/nation/crime/271116/telangana-tv-stringers-2-cops-rob-broker.html,2016-11-27
23,"Two held with Rs 6 lakh in new Rs 2,000 notes",Rajkot,Gujarat,600000.0,Times of India,2016-11-26,State Police,http://timesofindia.indiatimes.com/city/rajkot/Two-held-with-Rs-6-lakhin-new-Rs-2000-notes/articleshow/55627966.cms,2016-11-26
24,Demonetisation: 2 arrested with more than 3000 new Rs 2000 notes in Bhopal,Bhopal,Madhya Pradesh,734000.0,ABP News,2016-11-24,State Police,http://www.abplive.in/videos/demonetisation-2-arrested-with-more-than-3000-new-rs-2000-notes-in-bhopal-452046,2016-11-24
25,5 arrested with unaccounted for cash of Rs 6 lakh in new notes,Kasargod,Kerala,600000.0,New Indian Express,2016-11-19,State Police,http://www.newindianexpress.com/nation/2016/nov/19/5-arrested-with-unaccounted-for-cash-of-rs-6-lakh-in-new-notes-1540174.html,2016-11-19
26,One held with new notes worth Rs 37 L,Pavagada,Karnataka,3730000.0,New Indian Express,2016-12-06,State Police,http://www.newindianexpress.com/states/karnataka/2016/dec/06/one-held-with-new-notes-worth-rs-37-l-1546116.html,2016-12-06
27,"CBI searched 11 places & seized documents, laptops, mobiles & Rs 17.02 lakhs",Hyderabad,Telangana,1702000.0,ANI News,2016-12-07,CBI,https://twitter.com/ANI_news/status/806481701039767552,2016-12-07
28,New notes worth Rs. 46 lakh seized,Chikkamagaluru ,Karnataka,4600000.0,The Hindu,2016-12-02,State Police,http://www.thehindu.com/news/national/karnataka/New-notes-worth-Rs.-46-lakh-seized/article16751357.ece,2016-12-02
29,Singapore-bound passenger carrying new currency notes ... fined,Chennai,Tamil Nadu,250000.0,Indian Express,2016-12-01,Customs Dept,http://indianexpress.com/article/india/singapore-bound-passenger-carrying-new-currency-notes-worth-rs-2-5-lakh-fined-4405238/,2016-12-01
30,Income tax raids unearth Rs 20L in new currency notes,Ahmedabad,Gujarat,2000000.0,Times of India,2016-11-19,Income Tax Dept,http://timesofindia.indiatimes.com/city/ahmedabad/Income-tax-raids-unearth-Rs-20L-in-new-currency-notes/articleshow/55504222.cms,2016-11-19
31,"Found In Ahmedabad Car: 500 Brand-New 2,000-Rupee Notes",Ahmedabad,Gujarat,1240000.0,Times of India,2016-11-23,State Police,http://www.ndtv.com/ahmedabad-news/found-in-ahmedabad-car-500-brand-new-2-000-rupee-notes-1629137,2016-11-23
32,"Kolar police seize Rs. 18 lakh in Rs. 2000 notes, four arrested",Kolar,Karnataka,1800000.0,The Hindu,2016-12-07,State Police,http://www.thehindu.com/news/cities/bangalore/Kolar-police-seize-Rs.-18-lakh-in-Rs.-2000-notes-four-arrested/article16772775.ece,2016-12-07
33,State Bank of Bikaner and Jaipur head cashier suspended for illegal deals,Jaipur,Rajasthan,10000000,Times of India,2016-11-30,State Police,http://timesofindia.indiatimes.com/city/jaipur/SBBJ-head-cashier-suspended-for-illegal-deals/articleshow/55694959.cms,2016-11-30
34,Karnataka: Unaccounted cash Rs 11.13 lakh seized in Belagavi,Belagavi,Karnataka,850000.0,Indian Express,2016-12-07,State Police,http://indianexpress.com/article/cities/bangalore/karnataka-unaccounted-cash-rs-11-13-lakh-seized-in-belagavi-4415646/,2016-12-07
35,"Over Rs 1.75 crores, in new currency, seized in raids at different places",Porvorim and Ponda,Goa,15000000,Indian Express,2016-12-07,State Police,http://indianexpress.com/article/india/over-rs-1-75-crores-in-new-currency-seized-in-raids-at-different-places/,2016-12-07
36,Faridabad police apprehends 4 holding 8.9 lakh in new currency,Faridabad,Haryana,890000.0,NBT Delhi,2016-12-08,State Police,https://twitter.com/NBTDilli/status/806710648637833216,2016-12-08
37,IT raids on against 8 jewellers... 90 cr in total seized.. 70 cr new cash + 100kg gold,Chennai,Tamil Nadu,700000000,ANI News,2016-12-08,Income Tax Dept,http://www.oneindia.com/chennai/100-kilos-gold-rs-90-crore-found-chennai-it-raids-2285336.html?utm_source=article&utm_medium=fb-button&utm_campaign=article-fbshare,2016-12-08
38,New currency notes worth Rs. 43.60 lakh seized.,Hoshangabad,Madhya Pradesh,4360000.0,Amar Ujala,2016-12-08,State Police,http://www.amarujala.com/madhya-pradesh/43-million-new-notes-recovered-during-vehicle-checking,2016-12-08
39,"Tax dept seizes 75 kgs of gold, Rs 8 crore in new currency & Rs 60 crore in old notes",Chennai,Tamil Nadu,80000000,CNBCTV18,2016-12-08,Income Tax Dept,https://twitter.com/CNBCTV18Live/status/806831677162913792,2016-12-08
40,Police Raids...  Seize new currency,Kalburgi,Karnataka,2500000.0,TV9KannadaNews,2016-12-08,State Police,https://twitter.com/Tv9kannadanews/status/806903671803916288,2016-12-08
41,"Karnataka: 100,50 and 2000 notes worth Rs 15 lakhs seized from six people.",Chitradurga,Karnataka,1500000.0,ANI News,2016-12-08,State Police,https://twitter.com/ANI_news/status/806909494898757633,2016-12-08
42,CBI arrests two in connection with seizure of Rs 5.63 crore in new currency notes,New Delhi,New Delhi,56300000,Times of India,2016-12-05,CBI,http://timesofindia.indiatimes.com/city/bengaluru/CBI-arrests-two-in-connection-with-seizure-of-Rs-5-63-crore-in-new-currency-notes/articleshow/55814934.cms?utm_source=toimobile&utm_medium=Twitter&utm_campaign=referral,2016-12-05
43,Raichur: New currency - 25 lakhs seized from car,Raichur,Karnataka,2500000.0,India TV,2016-12-08,State Police,https://youtu.be/JNE1l9iI2wA?t=127,2016-12-08
44,Four people arrested in Surat with notes of Rs 2000 worth 76 lakhs,Surat,Gujarat,7600000.0,Hindustan Times,2016-12-09,State Police,http://www.hindustantimes.com/india-news/gujarat-police-seize-rs-76-lakh-in-new-rs-2000-notes/story-1KQMxOW1YSrgSExdhcCXAO.html,2016-12-09
45,"2 detained by @MumbaiPolice #CrimeBranch from #Dadar with ₹85 lakhs new currency","Dadar, Mumbai",Maharashtra,7200000.0,Twitter,2016-12-09,State Police,https://twitter.com/LedeInd/status/807148583124275200,2016-12-09
46,Crime Branch seized new notes worth Rs 10 lakh (approx) during search op,Gurugram,Haryana,1000000.0,ANI News,2016-12-09,State Police,https://twitter.com/ANI_news/status/807155016976826368,2016-12-09
47,New currency notes worth 18 lac seized by Police. One person taken into custody.,Jabalpur,Madhya Pradesh,1800000.0,Twitter,2016-12-09,State Police,https://twitter.com/NeerShrivastava/status/807159296605700096,2016-12-09
48,2 persons arrested by police... new currency... near Ranavav,Porbandar,Gujarat,2146000.0,Gujarat Headline,2016-12-08,State Police,http://www.gujaratheadline.com/porbandar-two-persons-arrested-by-police-with-new-currency-notes-worth-rs-25-lakhs-from-ranavav/,2016-12-08
49,"In 100-Crore Cash Raid, Man Who Took Prasad For Jayalalithaa To Hospital [41]",Chennai,Tamil Nadu,100000000,NDTV,2016-12-09,Income Tax Dept,http://www.ndtv.com/tamil-nadu-news/100-crores-in-cash-125-kilos-of-gold-and-a-man-known-to-aiadmk-leaders-1636019,2016-12-09
50,"Income Tax department seizes Rs 24 crore cash in new currency from Vellore, reports PTI",Vellore,Tamil Nadu,240000000,Times of India,2016-12-10,Income Tax Dept,https://twitter.com/timesofindia/status/807473222035722241,2016-12-10
51,Jaipur: Two arrested with 16 lakh in new currency,Jaipur,Rajasthan,1600000.0,India TV,2016-12-10,State Police,https://youtu.be/9wUXkrQusIY?t=121,2016-12-10
52,CBI recovers Rs 70 lakh in new currency ... in raids on postal official's kin,Hyderabad,Telangana,7000000.0,ABP News,2016-12-10,CBI,https://twitter.com/abpnewstv/status/807501786848247808,2016-12-10
53,Rs 5.7 cr in new notes from 'secret bathroom chamber'-  K'taka,Chitradurga,Karnataka,57000000,PTI,2016-12-10,Income Tax Dept,https://twitter.com/PTI_News/status/807549015260696576,2016-12-10
54,"Income Tax department seize Rs 7,20,000 in new Rs 2000 currency notes from Bhilwara",Bhilwara,Rajasthan,720000.0,ANI News,2016-12-10,Income Tax Dept,https://twitter.com/ANI_news/status/807500967524507650,2016-12-10
55,"4 nabbed with Rs. 21 lakh, 6,000 from Manekbaug area of the city.",Ahmedabad,Gujarat,2106000.0,TV9Gujarat,2016-12-10,TBD,https://twitter.com/tv9gujarati/status/807547345722187776,2016-12-10
56,"Police seize ...2 persons, allegedly involved in money exchange for commission, held",Kothur,Telangana,8200000.0,PTI,2016-12-10,State Police,https://twitter.com/PTI_News/status/807591453442441217,2016-12-10
57,"13 Crores Seized In Raid On Law Firm In South Delhi, Rs. 2 Crore In New Notes ",New Delhi,New Delhi,26000000,NDTV,2016-12-10,State Police,http://www.ndtv.com/delhi-news/rs-2-5-crore-in-new-notes-among-rs-10-crore-seized-from-delhi-law-firm-1636466,2016-12-10
58,Rs 14.51 lakh cash seized from house of financier in Bharuch,Bharuch,Gujarat,1402000.0,Indian Express,2016-12-11,State Police,http://indianexpress.com/article/india/gujarat-rs-14-51-lakh-cash-seized-from-house-of-financier-in-bharuch-4421165/,2016-12-11
59,Police arrest two realtors with Rs 22 lakh in new currency,Mysuru,Karnataka,2200000.0,Times of India,2016-12-11,State Police,http://timesofindia.indiatimes.com/city/mysuru/Police-arrest-two-realtors-with-Rs-22-lakh-in-new-currency/articleshow/55916648.cms?utm_source=dlvr.it&utm_medium=twitter,2016-12-11
60,"Rs 32 lakh in new currency seized in Telangana, Andhra",Ramayampet,Telangana,1600000.0,ABP News,2016-12-11,State Police,http://www.abplive.in/india-news/rs-32-lakh-in-new-currency-seized-in-telangana-andhra-461894,
61,"Rs 32 lakh in new currency seized in Telangana, Andhra",Vijaywada,Andhra Pradesh,1800000.0,ABP News,2016-12-11,State Police,http://www.abplive.in/india-news/rs-32-lakh-in-new-currency-seized-in-telangana-andhra-461894,
62,Rs 10 lakh in new notes found in doctor's chamber during ED raid,Kolkata,West Bengal,1000000.0,Times of India,2016-12-01,Enforcement Directorate,http://timesofindia.indiatimes.com/city/kolkata/Rs-10-lakh-in-new-notes-found-in-docs-chamber-during-ED-raid/articleshow/55717087.cms,
63,Notes of 2000 worth 2.5 crore seized in Nashik,Nashik,Maharashtra,25000000,Lokmat,2016-12-12,Enforcement Directorate,http://www.lokmat.com/storypage.php?catid=1&newsid=18537029,
64,"Rs 1.38 cr new currency notes, 2 kg gold seized by an IT team from a co-operative bank",Jaipur,Rajasthan,13800000,ABP News,2016-12-12,Income Tax Dept,https://twitter.com/abpnewstv/status/808212733418086400,
,"Raids by IT in Rajasthan, 138 crore new notes seized from coop bank",,,,Amar Ujala,,,http://www.amarujala.com/rajasthan/income-tax-department-seized-156-56-crore-in-jaipur,
,I-T raid at bank unearths undeclared Rs 156 crore; Rs 138 crore in new currency,,,,NewsX,,,http://www.newsx.com/national/49214-rs-156-crore-unearthed-from-a-bank-rs-138-crore-in-new-currency,
