brief_description_of_story,location,state,amount_rs,source,date,Month,investigating_authority,link
"Couple carrying ₹9,32,000 in new currency notes apprehended",Moreh,Manipur,932000.0,Twitter,2016-12-06,December,Indian Army,twitter
Arrest of Currency exchanging gang: 2 arrested for exchanging old-new notes,Vijaywada,Andhra Pradesh,3100000.0,Twitter,2016-12-02,December,State Police,twitter
Youth leader of the BJP's Tamil Nadu unit has been arrested ,Salem ,Tamil Nadu,2055000.0,Indiatimes,2016-11-26,November,State Police,indiatimes
New currency seized from Railway station,H Nizamuddin,New Delhi,2700000.0,ABP News,2016-11-25,November,State Police,abpnews.abplive
2 Axis Bank managers under I-T Department lens for helping convert money,Kashmere Gate,New Delhi,35000000.0,Financial Express,2016-11-25,November,Income Tax Dept,financialexpress
PWD Engineers caught with 4.7 crore new currency,Bangalore,Karnataka,57000000.0,New Indian Express,2016-11-30,November,Income Tax Dept,newindianexpress
"Odisha Police seizes Rs 1.43 crore in Sambalpur; eight arrested, arms recovered",Sambalpur,Orissa,8560000.0,Zee News,2016-12-04,December,State Police,zeenews
Currency seized ... chief electoral officer says belongs to Bank of Baroda,Thanjavur,Tamil Nadu,75000000.0,India Today,2016-11-10,November,Election Commission,indiatoday
"In Gujarat, Bribe Of Nearly 3 Lakhs Paid",Ahmedabad,Gujarat,300000.0,NDTV,2016-11-15,November,Anti Corruption Bureau,ndtv
Rs 71 lakh in new currency seized in Karnataka,"Bailur, Udupi",Karnataka,7100000.0,Times of India,2016-12-04,December,State Police,timesofindia
Police arrest BJP leader with Rs 33 lakh in new currency notes,Burdwan,West Bengal,3300000.0,ABP News,2016-12-06,December,State Police,abplive
Thirty four lakh seized in new and defunct currency notes,Ahmedabad,Gujarat,1060000.0,Indian Express,2016-11-23,November,State Police,indianexpress
New Currency Notes Worth Over ₹95 Lakh Seized In Hyderabad,Hyderabad,Telangana,9518000.0,Huffington Post,2016-12-02,December,State Police,huffingtonpost
11 lakh in new currency seized by Alwar police,Alwar,Rajasthan,1100000.0,Times of India,2016-12-05,December,State Police,timesofindia
"Rs. 58 lakh of Rs. 2,000 denomination seized",Hyderabad,Telangana,5800000.0,The Hindu,2016-12-06,December,State Police,thehindu
DDs were not the only instruments to be misused,Bangalore,Karnataka,7149000.0,The Hindu,2016-11-28,November,CBI,thehindu
Kodagu police seize over 34 lakh in new currency notes from taluk panchayat member,Kodagu,Karnataka,3400000.0,Times of India,2016-12-04,December,State Police,timesofindia
Rs. 27 lakh-worth banned currency seized in Bhubaneswar,Bhubaneswar,Orissa,300000.0,New Indian Express,2016-11-20,November,State Police,newindianexpress
"Cops arrest five, seize Rs 35 lakh in new notes",Bhatkal,Karnataka,3500000.0,Times of India,2016-12-01,December,State Police,timesofindia
Gwalior Police seizes eight lakh including new notes,Gwalior,Madhya Pradesh,200000.0,ABP News,2016-12-06,December,State Police,youtube
Bengaluru: Cash van driver’s wife held with Rs 79 lakh,Bangalore,Karnataka,9500000.0,Deccan Chronicle,2016-11-29,November,State Police,deccanchronicle
"Telangana: TV stringers, 2 cops rob broker",Hyderabad,Telangana,1000000.0,Deccan Chronicle,2016-11-27,November,State Police,deccanchronicle
"Two held with Rs 6 lakh in new Rs 2,000 notes",Rajkot,Gujarat,600000.0,Times of India,2016-11-26,November,State Police,timesofindia
Demonetisation: 2 arrested with more than 3000 new Rs 2000 notes in Bhopal,Bhopal,Madhya Pradesh,734000.0,ABP News,2016-11-24,November,State Police,abplive
5 arrested with unaccounted for cash of Rs 6 lakh in new notes,Kasargod,Kerala,600000.0,New Indian Express,2016-11-19,November,State Police,newindianexpress
One held with new notes worth Rs 37 L,Pavagada,Karnataka,3730000.0,New Indian Express,2016-12-06,December,State Police,newindianexpress
"CBI searched 11 places & seized documents, laptops, mobiles & Rs 17.02 lakhs",Hyderabad,Telangana,1702000.0,ANI News,2016-12-07,December,CBI,twitter
New notes worth Rs. 46 lakh seized,Chikkamagaluru ,Karnataka,4600000.0,The Hindu,2016-12-02,December,State Police,thehindu
Singapore-bound passenger carrying new currency notes ... fined,Chennai,Tamil Nadu,250000.0,Indian Express,2016-12-01,December,Customs Dept,indianexpress
Income tax raids unearth Rs 20L in new currency notes,Ahmedabad,Gujarat,2000000.0,Times of India,2016-11-19,November,Income Tax Dept,timesofindia
"Found In Ahmedabad Car: 500 Brand-New 2,000-Rupee Notes",Ahmedabad,Gujarat,1240000.0,Times of India,2016-11-23,November,State Police,ndtv
"Kolar police seize Rs. 18 lakh in Rs. 2000 notes, four arrested",Kolar,Karnataka,1800000.0,The Hindu,2016-12-07,December,State Police,thehindu
State Bank of Bikaner and Jaipur head cashier suspended for illegal deals,Jaipur,Rajasthan,10000000.0,Times of India,2016-11-30,November,State Police,timesofindia
Karnataka: Unaccounted cash Rs 11.13 lakh seized in Belagavi,Belagavi,Karnataka,850000.0,Indian Express,2016-12-07,December,State Police,indianexpress
"Over Rs 1.75 crores, in new currency, seized in raids at different places",Porvorim and Ponda,Goa,15000000.0,Indian Express,2016-12-07,December,State Police,indianexpress
Faridabad police apprehends 4 holding 8.9 lakh in new currency,Faridabad,Haryana,890000.0,NBT Delhi,2016-12-08,December,State Police,twitter
IT raids on against 8 jewellers... 90 cr in total seized.. 70 cr new cash + 100kg gold,Chennai,Tamil Nadu,700000000.0,ANI News,2016-12-08,December,Income Tax Dept,oneindia
New currency notes worth Rs. 43.60 lakh seized.,Hoshangabad,Madhya Pradesh,4360000.0,Amar Ujala,2016-12-08,December,State Police,amarujala
"Tax dept seizes 75 kgs of gold, Rs 8 crore in new currency & Rs 60 crore in old notes",Chennai,Tamil Nadu,80000000.0,CNBCTV18,2016-12-08,December,Income Tax Dept,twitter
Police Raids...  Seize new currency,Kalburgi,Karnataka,2500000.0,TV9KannadaNews,2016-12-08,December,State Police,twitter
"Karnataka: 100,50 and 2000 notes worth Rs 15 lakhs seized from six people.",Chitradurga,Karnataka,1500000.0,ANI News,2016-12-08,December,State Police,twitter
CBI arrests two in connection with seizure of Rs 5.63 crore in new currency notes,New Delhi,New Delhi,56300000.0,Times of India,2016-12-05,December,CBI,timesofindia
Raichur: New currency - 25 lakhs seized from car,Raichur,Karnataka,2500000.0,India TV,2016-12-08,December,State Police,youtube
Four people arrested in Surat with notes of Rs 2000 worth 76 lakhs,Surat,Gujarat,7600000.0,Hindustan Times,2016-12-09,December,State Police,hindustantimes
2 detained by @MumbaiPolice #CrimeBranch from #Dadar with ₹85 lakhs new currency,"Dadar, Mumbai",Maharashtra,7200000.0,Twitter,2016-12-09,December,State Police,twitter
Crime Branch seized new notes worth Rs 10 lakh (approx) during search op,Gurugram,Haryana,1000000.0,ANI News,2016-12-09,December,State Police,twitter
New currency notes worth 18 lac seized by Police. One person taken into custody.,Jabalpur,Madhya Pradesh,1800000.0,Twitter,2016-12-09,December,State Police,twitter
2 persons arrested by police... new currency... near Ranavav,Porbandar,Gujarat,2146000.0,Gujarat Headline,2016-12-08,December,State Police,gujaratheadline
"In 100-Crore Cash Raid, Man Who Took Prasad For Jayalalithaa To Hospital [41]",Chennai,Tamil Nadu,100000000.0,NDTV,2016-12-09,December,Income Tax Dept,ndtv
"Income Tax department seizes Rs 24 crore cash in new currency from Vellore, reports PTI",Vellore,Tamil Nadu,240000000.0,Times of India,2016-12-10,December,Income Tax Dept,twitter
Jaipur: Two arrested with 16 lakh in new currency,Jaipur,Rajasthan,1600000.0,India TV,2016-12-10,December,State Police,youtube
CBI recovers Rs 70 lakh in new currency ... in raids on postal official's kin,Hyderabad,Telangana,7000000.0,ABP News,2016-12-10,December,CBI,twitter
Rs 5.7 cr in new notes from 'secret bathroom chamber'-  K'taka,Chitradurga,Karnataka,57000000.0,PTI,2016-12-10,December,Income Tax Dept,twitter
"Income Tax department seize Rs 7,20,000 in new Rs 2000 currency notes from Bhilwara",Bhilwara,Rajasthan,720000.0,ANI News,2016-12-10,December,Income Tax Dept,twitter
"4 nabbed with Rs. 21 lakh, 6,000 from Manekbaug area of the city.",Ahmedabad,Gujarat,2106000.0,TV9Gujarat,2016-12-10,December,TBD,twitter
"Police seize ...2 persons, allegedly involved in money exchange for commission, held",Kothur,Telangana,8200000.0,PTI,2016-12-10,December,State Police,twitter
"13 Crores Seized In Raid On Law Firm In South Delhi, Rs. 2 Crore In New Notes ",New Delhi,New Delhi,26000000.0,NDTV,2016-12-10,December,State Police,ndtv
Rs 14.51 lakh cash seized from house of financier in Bharuch,Bharuch,Gujarat,1402000.0,Indian Express,2016-12-11,December,State Police,indianexpress
Police arrest two realtors with Rs 22 lakh in new currency,Mysuru,Karnataka,2200000.0,Times of India,2016-12-11,December,State Police,timesofindia
"Rs 32 lakh in new currency seized in Telangana, Andhra",Ramayampet,Telangana,1600000.0,ABP News,2016-12-11,December,State Police,abplive
"Rs 32 lakh in new currency seized in Telangana, Andhra",Vijaywada,Andhra Pradesh,1800000.0,ABP News,2016-12-11,December,State Police,abplive
Rs 10 lakh in new notes found in doctor's chamber during ED raid,Kolkata,West Bengal,1000000.0,Times of India,2016-12-01,December,Enforcement Directorate,timesofindia
Notes of 2000 worth 2.5 crore seized in Nashik,Nashik,Maharashtra,25000000.0,Lokmat,2016-12-12,December,Enforcement Directorate,lokmat
"Rs 1.38 cr new currency notes, 2 kg gold seized by an IT team from a co-operative bank",Jaipur,Rajasthan,13800000.0,ABP News,2016-12-12,December,Income Tax Dept,twitter
